TimeStamp,ID,sequence,color,R,G,B,x,y,u`,v`,X,Y,Z
2026-02-02T15:40:22,gold,pre,B,0,0,255,0.157274,0.0561,0.187306,0.150328,21.119571,7.533375,105.632382
2026-02-02T15:40:23,gold,pre,G,0,255,0,0.347854,0.617528,0.143229,0.572101,40.217536,71.396134,4.002356
2026-02-02T15:40:25,gold,pre,R,255,0,0,0.641814,0.333239,0.449195,0.524764,44.894865,23.310054,1.745093
2026-02-02T15:40:26,gold,pre,W,255,255,255,0.332926,0.320052,0.215668,0.466489,105.979878,101.881685,110.467416
2026-02-02T15:42:11,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:42:13,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:42:14,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:42:16,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:48:00,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:48:01,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:48:03,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:48:04,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:52:38,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:52:39,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:52:41,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:52:42,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:58:10,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:58:12,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:58:13,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T15:58:15,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:04:54,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:04:55,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:04:57,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:04:58,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:16:44,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:16:46,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:16:47,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:16:49,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:26:41,gold,post,W,208,246,255,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:26:42,gold,post,R,213,24,28,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:26:44,gold,post,G,0,246,14,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
2026-02-02T16:26:45,gold,post,B,18,0,254,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
