ID,sequence,unit_num,color,x,y,Y
gold,pre,0,R,0.63398,0.320396,122.23
gold,pre,0,G,0.285144,0.58661,132.34
gold,pre,0,B,0.142579,0.045574,77.24
gold,pre,0,W,0.310146,0.326904,191.57
gold,pre,0,NR,0.56786,0.386697,115.95
gold,pre,0,NB,0.276907,0.304002,101.96
gold,pre,1,R,0.64899,0.323459,131.55
gold,pre,1,G,0.289607,0.61096,156.79
gold,pre,1,B,0.137947,0.062496,87.96
gold,pre,1,W,0.318403,0.334746,173.4
gold,pre,1,NR,0.58434,0.385178,108.72
gold,pre,1,NB,0.227564,0.325482,90.62
gold,pre,2,R,0.654238,0.337113,109.67
gold,pre,2,G,0.292325,0.616966,142.09
gold,pre,2,B,0.126127,0.04029,72.09
gold,pre,2,W,0.32026,0.325903,181.43
gold,pre,2,NR,0.545539,0.395562,94.78
gold,pre,2,NB,0.264927,0.283733,78.17
gold,pre,3,R,0.616841,0.309139,115.8
gold,pre,3,G,0.306558,0.593827,148.66
gold,pre,3,B,0.142794,0.080525,84.28
gold,pre,3,W,0.314814,0.341179,192.33
gold,pre,3,NR,0.584936,0.388727,121.48
gold,pre,3,NB,0.236969,0.289793,91.56
