ID,sequence,unit_num,color,x,y,Y
gold,post,0,R,0.644526,0.329232,118.05
gold,post,0,G,0.302761,0.597083,156.76
gold,post,0,B,0.153181,0.061802,82.93
gold,post,0,W,0.310587,0.331848,202.12
gold,post,0,NR,0.571978,0.378085,107.93
gold,post,0,NB,0.256981,0.311951,88.5
gold,post,1,R,0.641426,0.323152,119.59
gold,post,1,G,0.294934,0.593292,157.39
gold,post,1,B,0.146954,0.06726,79.52
gold,post,1,W,0.310204,0.326977,193.47
gold,post,1,NR,0.579555,0.374788,114.75
gold,post,1,NB,0.251162,0.313912,86.32
gold,post,2,R,0.637484,0.323215,117.23
gold,post,2,G,0.303346,0.597431,154.05
gold,post,2,B,0.145591,0.063123,80.33
gold,post,2,W,0.309764,0.33105,204.15
gold,post,2,NR,0.58107,0.383761,111.2
gold,post,2,NB,0.244968,0.312147,86.4
gold,post,3,R,0.642993,0.332678,116.36
gold,post,3,G,0.301077,0.599916,143.91
gold,post,3,B,0.145326,0.05441,80.35
gold,post,3,W,0.31699,0.330139,205.68
gold,post,3,NR,0.568166,0.386728,112.25
gold,post,3,NB,0.255724,0.303655,93.69
