ID,sequence,unit_num,color,x,y,Y
gold,post,0,B,0.153181,0.061802,82.93
gold,pre,0,B,0.142579,0.045574,77.24
gold,post,1,B,0.146954,0.06726,79.52
gold,pre,1,B,0.137947,0.062496,87.96
gold,post,2,B,0.145591,0.063123,80.33
gold,pre,2,B,0.126127,0.04029,72.09
gold,post,3,B,0.145326,0.05441,80.35
gold,pre,3,B,0.142794,0.080525,84.28
gold,post,0,G,0.302761,0.597083,156.76
gold,pre,0,G,0.285144,0.58661,132.34
gold,post,1,G,0.294934,0.593292,157.39
gold,pre,1,G,0.289607,0.61096,156.79
gold,post,2,G,0.303346,0.597431,154.05
gold,pre,2,G,0.292325,0.616966,142.09
gold,post,3,G,0.301077,0.599916,143.91
gold,pre,3,G,0.306558,0.593827,148.66
gold,post,0,NB,0.256981,0.311951,88.5
gold,pre,0,NB,0.276907,0.304002,101.96
gold,post,1,NB,0.251162,0.313912,86.32
gold,pre,1,NB,0.227564,0.325482,90.62
gold,post,2,NB,0.244968,0.312147,86.4
gold,pre,2,NB,0.264927,0.283733,78.17
gold,post,3,NB,0.255724,0.303655,93.69
gold,pre,3,NB,0.236969,0.289793,91.56
gold,post,0,NR,0.571978,0.378085,107.93
gold,pre,0,NR,0.56786,0.386697,115.95
gold,post,1,NR,0.579555,0.374788,114.75
gold,pre,1,NR,0.58434,0.385178,108.72
gold,post,2,NR,0.58107,0.383761,111.2
gold,pre,2,NR,0.545539,0.395562,94.78
gold,post,3,NR,0.568166,0.386728,112.25
gold,pre,3,NR,0.584936,0.388727,121.48
gold,post,0,R,0.644526,0.329232,118.05
gold,pre,0,R,0.63398,0.320396,122.23
gold,post,1,R,0.641426,0.323152,119.59
gold,pre,1,R,0.64899,0.323459,131.55
gold,post,2,R,0.637484,0.323215,117.23
gold,pre,2,R,0.654238,0.337113,109.67
gold,post,3,R,0.642993,0.332678,116.36
gold,pre,3,R,0.616841,0.309139,115.8
gold,post,0,W,0.310587,0.331848,202.12
gold,pre,0,W,0.310146,0.326904,191.57
gold,post,1,W,0.310204,0.326977,193.47
gold,pre,1,W,0.318403,0.334746,173.4
gold,post,2,W,0.309764,0.33105,204.15
gold,pre,2,W,0.32026,0.325903,181.43
gold,post,3,W,0.31699,0.330139,205.68
gold,pre,3,W,0.314814,0.341179,192.33
