TimeStamp,Color,R,G,B,x,y,u`,v`,X,Y,Z
2026-01-07T08:18:34,Orange,255,163,134,0.413285,0.35864,0.255228,0.498333,43.981344,38.166056,24.271483
2026-01-07T08:20:52,Blue,184,211,254,0.26863,0.272329,0.187503,0.427691,53.001106,53.730974,90.569273
2026-01-07T08:22:03,Green,0,216,99,0.31852,0.516688,0.148785,0.543043,26.322882,42.699784,13.618676
2026-01-07T08:23:02,Red,238,103,92,0.477921,0.340611,0.311781,0.49996,30.075868,21.434867,11.419916
2026-01-07T08:24:12,Yellow,253,214,99,0.427175,0.44956,0.226607,0.536584,53.165031,55.950993,15.341188
2026-01-07T08:25:19,White,255,255,255,0.309109,0.318738,0.199212,0.46219,77.438667,79.850944,93.232364
2026-01-07T08:28:57,Blue,184,211,254,0.291199,0.272879,0.204632,0.431456,61.357163,57.496961,91.850844
2026-01-07T08:29:18,Blue,184,211,254,0.268249,0.27295,0.186969,0.428052,53.275864,54.209525,91.120696
2026-01-07T08:30:41,Red,238,103,92,0.472493,0.341331,0.307263,0.499429,29.265385,21.141435,11.531398
2026-01-07T08:32:38,Yellow,253,214,99,0.427396,0.44824,0.227215,0.536166,53.259975,55.857372,15.497582
2026-01-07T08:33:54,Blue,184,211,254,0.268268,0.27257,0.187132,0.427799,53.343137,54.198522,91.300923
2026-01-07T09:14:14,Gray,128,134,139,0.304391,0.317723,0.196258,0.460921,75.596455,78.907563,93.849086
2026-01-07T09:14:14,Gray,128,134,139,0.32721,0.31471,0.21379,0.46265,22.687295,21.820566,24.827641
2026-01-07T09:14:57,Gray,128,134,139,0.29132,0.305417,0.191584,0.451922,94.178631,98.735856,130.367792
2026-01-07T09:38:45,Gray,128,134,139,0.286023,0.312087,0.185338,0.455011,23.168788,25.280096,32.554389
2026-01-07T09:38:45,Gray,128,134,139,0.294463,0.315624,0.19002,0.45827,22.693171,24.32397,30.049252
2026-01-07T09:39:12,Gray,128,134,139,0.293588,0.316312,0.18915,0.458529,22.582068,24.329924,30.005591
2026-01-07T09:40:15,Orange,255,163,134,0.405014,0.360696,0.248539,0.498021,51.620991,45.97246,29.861402
2026-01-07T09:40:31,Blue,184,211,254,0.262972,0.272506,0.183124,0.426967,63.06243,65.348623,111.395309
2026-01-07T09:41:02,Red,238,103,92,0.472752,0.341759,0.307201,0.49968,35.483936,25.651812,13.922532
2026-01-07T09:41:33,Yellow,253,214,99,0.422579,0.453289,0.222577,0.537192,63.651878,68.277662,18.697599
2026-01-07T09:42:01,White,255,255,255,0.303798,0.31972,0.195085,0.461945,91.193678,95.973087,113.012076
2026-01-07T09:42:16,Gray,128,134,139,0.294211,0.315156,0.190014,0.457968,22.669667,24.283525,30.09917
2026-01-07T09:43:15,Orange,255,163,134,0.405097,0.360677,0.248605,0.498025,51.626447,45.965428,29.850179
2026-01-07T09:43:30,Blue,184,211,254,0.26319,0.272356,0.183347,0.426899,63.159173,65.35896,111.45774
2026-01-07T09:43:45,Green,0,216,99,0.316664,0.517819,0.14762,0.543135,31.866845,52.109633,16.656389
2026-01-07T09:44:00,Red,238,103,92,0.47309,0.342474,0.307026,0.500083,35.417952,25.639375,13.807854
2026-01-07T09:44:17,Yellow,253,214,99,0.42229,0.45377,0.222239,0.537313,63.56293,68.301272,18.655401
2026-01-07T09:44:32,White,255,255,255,0.303779,0.319768,0.195053,0.461969,91.184804,95.984227,112.999389
2026-01-07T09:45:04,Blue,184,211,254,0.263362,0.272284,0.183506,0.426875,63.180727,65.321136,111.398832
2026-01-07T09:47:27,Yellow,253,214,99,0.422236,0.452645,0.222603,0.536926,63.738008,68.32822,18.887124
2026-01-07T09:52:49,White,255,255,255,0.303615,0.319869,0.1949,0.462001,91.111925,95.989367,112.988743
2026-01-07T09:56:35,Gray,128,134,139,0.293676,0.315802,0.189399,0.458254,22.600236,24.302909,30.053102
2026-01-07T10:03:34,Orange,255,163,134,0.40536,0.360336,0.248942,0.497907,51.652649,45.915527,29.855992
2026-01-07T10:04:54,Green,0,216,99,0.316813,0.517957,0.147666,0.543194,31.889869,52.136685,16.631729
2026-01-07T10:06:50,Red,238,103,92,0.472033,0.341916,0.306569,0.49964,35.390821,25.635216,13.949233
2026-01-07T10:13:35,Red,238,103,92,0.462314,0.338894,0.301078,0.49658,142.260657,104.282703,61.171144
2026-01-07T10:14:18,Red,255,103,92,0.475927,0.338578,0.311518,0.498635,160.036126,113.850718,62.374999
2026-01-07T10:15:06,Red,255,0,0,0.628651,0.332,0.439101,0.521767,126.018015,66.552061,7.887898
2026-01-07T10:31:13,Orange,255,163,134,0.63436,0.331786,0.444175,0.522707,16.41685,8.586415,0.876108
2026-01-07T10:31:13,Orange,255,163,134,0.395275,0.359039,0.242578,0.495764,44.310633,40.248493,27.541593
2026-01-07T10:31:28,Blue,184,211,254,0.265074,0.270011,0.185691,0.425588,58.900411,59.997443,103.30597
2026-01-07T10:31:45,Green,0,216,99,0.316257,0.514424,0.148119,0.542097,29.473409,47.941595,15.779627
2026-01-07T10:31:59,Red,238,103,92,0.455165,0.340874,0.294598,0.496406,28.390416,21.261595,12.721835
2026-01-07T10:32:15,Yellow,253,214,99,0.413967,0.455192,0.216896,0.536617,54.369499,59.784001,17.184345
2026-01-07T10:32:30,White,255,255,255,0.303565,0.317891,0.195609,0.460893,83.988277,87.952092,104.733192
2026-01-07T10:32:45,Gray,128,134,139,0.294555,0.313827,0.190749,0.457265,20.964879,22.336521,27.873285
2026-01-07T10:32:59,Red1,255,0,0,0.640971,0.333468,0.448257,0.524717,22.197467,11.548315,0.885214
2026-01-07T11:07:31,Orange,255,163,134,0.399198,0.358267,0.24563,0.496,47.559821,42.683333,28.89518
2026-01-07T11:08:52,Blue,184,211,254,0.271154,0.272108,0.18952,0.427918,62.123277,62.341699,104.641616
2026-01-07T11:09:17,Red,238,103,92,0.455463,0.342113,0.294111,0.497062,31.727383,23.831469,14.100757
2026-01-07T11:09:36,Red1,255,0,0,0.606449,0.337429,0.415643,0.520344,25.499598,14.188014,2.359813
2026-01-07T11:33:40,Orange,255,163,134,0.394956,0.358822,0.242455,0.495614,44.094455,40.060312,27.489249
2026-01-07T11:34:43,Blue,184,211,254,0.264755,0.269069,0.185815,0.424897,58.696253,59.652653,103.35094
2026-01-07T11:35:55,Green,0,216,99,0.315845,0.513867,0.148029,0.541882,29.334726,47.72638,15.81578
2026-01-07T11:36:57,Red,238,103,92,0.454276,0.340032,0.294419,0.495848,28.195493,21.104755,12.766631
2026-01-07T11:37:17,Red,238,103,92,0.454458,0.339689,0.294751,0.495707,28.248825,21.114862,12.79572
2026-01-07T11:38:17,Yellow,253,214,99,0.413744,0.454904,0.216865,0.536488,54.075315,59.454748,17.167423
2026-01-07T11:39:17,White,255,255,255,0.302831,0.317328,0.195303,0.460469,83.499079,87.496279,104.732788
